iter	Passed	Remaining
0	162	162226
1	165	82411
2	166	55296
3	167	41760
4	169	33651
5	170	28227
6	171	24340
7	172	21416
8	173	19149
9	175	17396
10	176	15904
11	178	14667
12	180	13685
13	181	12795
14	182	12005
15	183	11311
16	185	10715
17	186	10181
18	187	9697
19	188	9258
20	190	8865
21	191	8517
22	192	8183
23	193	7886
24	195	7615
25	196	7360
26	199	7189
27	201	7001
28	202	6795
29	204	6605
30	205	6426
31	207	6268
32	208	6116
33	209	5965
34	211	5827
35	212	5693
36	214	5572
37	215	5449
38	216	5333
39	217	5221
40	218	5122
41	220	5029
42	221	4938
43	223	4849
44	224	4762
45	225	4684
46	227	4608
47	228	4536
48	230	4468
49	231	4397
50	232	4331
51	234	4267
52	235	4204
53	236	4143
54	237	4085
55	239	4029
56	240	3976
57	241	3922
58	242	3870
59	243	3820
60	244	3770
61	246	3725
62	247	3679
63	248	3634
64	249	3593
65	251	3552
66	252	3513
67	253	3472
68	254	3433
69	255	3400
70	257	3364
71	258	3332
72	259	3298
73	260	3264
74	262	3234
75	263	3203
76	264	3174
77	266	3145
78	267	3116
79	268	3089
80	269	3060
81	271	3034
82	272	3007
83	273	2980
84	274	2956
85	275	2931
86	277	2909
87	278	2885
88	279	2861
89	280	2839
90	282	2817
91	283	2795
92	284	2776
93	285	2755
94	287	2735
95	288	2720
96	290	2701
97	291	2682
98	292	2663
99	294	2646
100	295	2628
101	296	2610
102	297	2593
103	299	2576
104	300	2559
105	301	2541
106	302	2527
107	303	2510
108	305	2494
109	306	2480
110	308	2466
111	309	2454
112	311	2444
113	312	2432
114	314	2420
115	315	2404
116	316	2391
117	318	2379
118	319	2367
119	321	2354
120	322	2340
121	323	2327
122	324	2316
123	326	2305
124	327	2295
125	329	2286
126	330	2274
127	332	2263
128	333	2251
129	334	2239
130	336	2229
131	337	2219
132	339	2210
133	340	2200
134	342	2191
135	343	2183
136	345	2177
137	347	2167
138	348	2158
139	349	2147
140	350	2137
141	351	2124
142	352	2115
143	354	2107
144	355	2098
145	357	2090
146	358	2080
147	359	2072
148	361	2064
149	363	2057
150	365	2052
151	366	2044
152	367	2036
153	369	2027
154	370	2021
155	371	2009
156	372	2000
157	374	1993
158	375	1986
159	377	1980
160	378	1973
161	380	1966
162	381	1960
163	383	1954
164	384	1948
165	386	1940
166	387	1934
167	389	1928
168	390	1919
169	391	1913
170	393	1907
171	395	1902
172	396	1896
173	398	1890
174	399	1883
175	401	1878
176	402	1872
177	403	1863
178	404	1853
179	405	1847
180	407	1842
181	407	1833
182	408	1824
183	409	1816
184	411	1810
185	412	1804
186	413	1796
187	413	1787
188	414	1779
189	416	1773
190	417	1767
191	418	1762
192	420	1758
193	421	1752
194	423	1746
195	424	1741
196	426	1736
197	427	1730
198	428	1726
199	430	1721
200	431	1714
201	432	1706
202	433	1701
203	433	1693
204	434	1684
205	435	1680
206	436	1673
207	437	1665
208	439	1661
209	440	1657
210	441	1650
211	442	1644
212	443	1638
213	445	1634
214	445	1627
215	446	1620
216	447	1613
217	447	1606
218	449	1602
219	450	1596
220	451	1590
221	451	1583
222	452	1577
223	453	1570
224	454	1564
225	455	1558
226	456	1554
227	457	1550
228	458	1543
229	459	1538
230	460	1531
231	460	1524
232	462	1522
233	463	1518
234	465	1514
235	466	1510
236	468	1507
237	469	1502
238	470	1497
239	471	1493
240	473	1490
241	474	1486
242	475	1481
243	476	1476
244	477	1470
245	478	1466
246	480	1464
247	481	1461
248	482	1455
249	483	1451
250	484	1445
251	485	1439
252	485	1434
253	487	1431
254	488	1428
255	489	1422
256	491	1419
257	492	1417
258	494	1414
259	496	1412
260	497	1409
261	499	1405
262	500	1402
263	502	1400
264	504	1398
265	505	1395
266	507	1392
267	508	1389
268	510	1386
269	511	1383
270	513	1380
271	514	1377
272	515	1373
273	517	1372
274	519	1369
275	520	1366
276	522	1363
277	523	1359
278	525	1357
279	526	1354
280	528	1352
281	529	1348
282	530	1344
283	532	1341
284	533	1337
285	534	1335
286	536	1333
287	537	1329
288	539	1326
289	540	1324
290	542	1321
291	544	1319
292	545	1316
293	547	1313
294	548	1310
295	549	1307
296	551	1304
297	553	1303
298	555	1301
299	556	1298
300	557	1295
301	559	1293
302	560	1289
303	562	1286
304	563	1284
305	565	1282
306	567	1280
307	568	1278
308	570	1276
309	572	1275
310	574	1272
311	576	1270
312	578	1268
313	579	1265
314	580	1262
315	581	1259
316	583	1257
317	584	1253
318	585	1250
319	587	1248
320	589	1246
321	590	1243
322	592	1241
323	593	1239
324	595	1237
325	597	1234
326	598	1232
327	600	1229
328	601	1226
329	603	1225
330	604	1222
331	606	1219
332	607	1217
333	609	1215
334	610	1212
335	612	1210
336	613	1207
337	615	1205
338	617	1203
339	619	1201
340	621	1200
341	622	1198
342	624	1195
343	625	1193
344	627	1191
345	629	1189
346	630	1186
347	632	1185
348	634	1183
349	635	1180
350	637	1179
351	639	1178
352	641	1176
353	643	1173
354	645	1172
355	646	1170
356	648	1167
357	649	1165
358	650	1162
359	652	1160
360	654	1157
361	655	1155
362	657	1153
363	658	1151
364	660	1149
365	662	1148
366	664	1146
367	666	1144
368	667	1142
369	669	1140
370	671	1138
371	673	1136
372	674	1134
373	677	1133
374	679	1131
375	680	1129
376	682	1128
377	684	1126
378	686	1124
379	687	1122
380	689	1120
381	690	1117
382	692	1115
383	693	1113
384	695	1110
385	696	1108
386	698	1105
387	699	1103
388	701	1101
389	703	1099
390	704	1097
391	706	1095
392	707	1093
393	709	1090
394	710	1088
395	712	1086
396	714	1084
397	716	1084
398	718	1081
399	719	1079
400	721	1077
401	722	1075
402	724	1073
403	726	1071
404	727	1068
405	729	1066
406	730	1064
407	731	1062
408	733	1059
409	734	1057
410	736	1055
411	738	1054
412	740	1052
413	741	1050
414	743	1047
415	745	1046
416	746	1044
417	748	1041
418	749	1039
419	751	1037
420	753	1036
421	754	1033
422	756	1031
423	758	1029
424	760	1028
425	761	1026
426	763	1024
427	764	1021
428	766	1019
429	767	1017
430	769	1015
431	770	1013
432	772	1011
433	774	1009
